subregion,"prevalence of blindness, % <15 years","prevalence of blindness, % 15-49 years","prevalence of blindness, % >=50 years",no. of blind persons (mln) <15 years,no. of blind persons (mln) 15-49 years,no. of blind persons (mln) >=50 years
Afr-D,0.124,0.2,9,0.191,0.332,3.124
Afr-E,0.124,0.2,9,0.196,0.336,3.11
Amr-A,0.03,0.1,0.4,0.021,0.114,0.56
Amr-B,0.062,0.15,1.3,0.085,0.369,0.937
Amr-D,0.062,0.2,2.6,0.017,0.075,0.241
Emr-B,0.08,0.15,5.6,0.039,0.117,0.92
Emr-D,0.08,0.2,7,0.043,0.146,1.217
Eur-A,0.03,0.1,0.5,0.021,0.204,0.713
Eur-B,0.051,0.15,1.25,0.029,0.179,0.552
Eur-C,0.051,0.15,1.2,0.021,0.192,0.822
Sear-B,0.083,0.15,6.3,0.102,0.332,3.779
Sear-D,0.08,0.2,3.4,0.39,1.423,6.53
Wpr-A,0.03,0.1,0.6,0.007,0.07,0.315
Wpr-B,0.072,0.15,3.366666667,0.205,1.292,7.49
Eur-B1,0.051,0.15,1.2,0.02,0.136,0.462
Eur-B2,0.051,0.15,1.3,0.009,0.043,0.09
Wpr-B1,0.05,0.15,2.3,0.162,1.166,6.404
Wpr-B2,0.083,0.15,5.6,0.041,0.12,1.069
Wpr-B3,0.083,0.15,2.2,0.002,0.006,0.017
